0,0,0
0.001,5.95789096726666e-09,31244.3106221951
0.002,53.8907213031153,31180.3497829201
0.003,94.7384658535206,31055.315691078
0.004,125.82616320969,30937.0274792858
0.005,151.493698191142,30826.2355316358
0.006,171.454059113772,30722.0542225081
0.007,186.937784145779,30624.1256883859
0.008,199.939661489594,30533.3846351257
0.009,211.585866463143,30451.1824877497
0.01,223.858161571633,30377.9257229224
0.011,239.32971825237,30312.4931573845
0.012,259.781352956461,30252.7249403877
0.013,285.935586275369,30196.3434579865
0.014,317.720217990966,30141.5657200368
0.015,354.94088272153,30087.2271504474
0.016,398.013308043394,30032.6535930862
0.017,447.930846934324,29977.4340014379
0.018,505.738694086566,29921.1236403601
0.019,572.248959035004,29863.0916161733
0.02,648.076814557769,29802.7964927946
0.021,733.733441775808,29740.3498737126
0.022,829.588566937386,29676.7917007527
0.023,935.646130768396,29613.7136360919
0.024,1051.25522103436,29552.5129438183
0.025,1174.99196500603,29493.8635392473
0.026,1304.83710277262,29437.697757428
0.027,1438.54119932471,29383.5404871436
0.028,1573.93828653851,29330.8597622647
0.029,1709.054266604,29279.2187530588
0.03,1842.06846618359,29228.2210394646
0.031,1971.31129560771,29177.3490397635
0.032,2095.41082191233,29125.7898427398
0.033,2213.5211941114,29072.3503963884
0.034,2325.44881443505,29015.6089326515
0.035,2431.54904798323,28954.3499461246
0.036,2532.44131731105,28888.0400330532
0.037,2628.72742302348,28816.9588808008
0.038,2720.88421369512,28741.8940739853
0.039,2809.35310676528,28663.7566703035
0.04,2894.69631768075,28583.5192207207
0.041,2977.65446611386,28502.4563995308
0.042,3059.04158710141,28422.3074427187
0.043,3139.55576465856,28345.093746339
0.044,3219.64638100388,28272.724897792
0.045,3299.52319516436,28206.7235612672
0.046,3379.27479952021,28148.2048997969
0.047,3458.98737620318,28097.9389440733
0.048,3538.77391341777,28056.2856861139
0.049,3618.71437066713,28023.0505936335
0.05,3698.78764432182,27997.5022695739
0.051,3778.88040662312,27978.6339001871
0.052,3858.89082814111,27965.4238643262
0.053,3938.86472844806,27956.8067415406
0.054,4019.0726185704,27951.4077148344
0.055,4102.5197980887,27947.4151452394
0.056,4227.47774520781,27942.8677938918
0.057,4343.72177815891,27936.2146504458
0.058,4454.34754098689,27926.7201464398
0.059,4562.93254623571,27914.4165016178
0.06,4669.54723327644,27899.6947899898
0.061,4775.38463216695,27882.8997493701
0.062,4882.03031871948,27864.2269661701
0.063,4990.17525319426,27843.9198228513
0.064,5100.79490886073,27822.5157366184
0.065,5214.82255074415,27800.8846741135
0.066,5332.09192308304,27779.9916914577
0.067,5451.19819735123,27760.5258972476
0.068,5569.80913577149,27742.6341944936
0.069,5685.32995651461,27725.932615032
0.07,5795.6390549576,27709.7752494857
0.071,5899.26280714839,27693.5657876415
0.072,5995.16534017378,27676.8667471872
0.073,6082.63940190598,27659.2490326725
0.074,6161.33492860936,27640.0714497445
0.075,6231.28261091159,27618.452378903
0.076,6292.85878664285,27593.5254209995
0.077,6346.67715058143,27564.8220923703
0.078,6393.43518094023,27532.5218498361
0.079,6433.79228133352,27497.4238578439
0.08,6468.33666600991,27460.701755703
0.081,6497.63200241039,27423.6239994974
0.082,6522.28498215198,27387.3902879806
0.083,6542.97815317352,27353.1193257423
0.084,6560.45259798074,27321.9253496845
0.085,6575.45959200722,27294.9785003278
0.086,6588.70855093566,27273.4523963154
0.087,6600.83023134636,27258.3264437321
0.088,6612.3626480447,27250.1217969854
0.089,6623.75616363283,27248.733335589
0.09,6635.38447726419,27253.4792976899
0.091,6647.54747395693,27263.3299827376
0.092,6670.46809651486,27277.1356588001
0.093,6697.09495637178,27293.6939412783
0.094,6721.48311867078,27311.6679695029
0.095,6744.75059784708,27329.5234995569
0.096,6767.26170879624,27345.6403571665
0.097,6789.26089624006,27358.5851597013
0.098,6811.34545921794,27367.3752528157
0.099,6834.0454048486,27371.5669480807
0.1,6857.90872340938,27371.147831489
0.101,6883.54431044315,27366.3540157528
0.102,6911.28113999073,27357.5490627906
0.103,6940.94990244129,27345.2080313735
0.104,6971.8911933077,27329.9521973721
0.105,7003.10853408553,27312.5534985753
0.106,7033.50065667343,27293.867250561
0.107,7061.99674610124,27274.7069670334
0.108,7087.56105322858,27255.7075138935
0.109,7109.20473263618,27237.2244302058
0.11,7126.06099552769,27219.2982041935
0.111,7137.46778364073,27201.6857919033
0.112,7143.00461429663,27183.9393738788
0.113,7142.47325213736,27165.5032298695
0.114,7135.84809221716,27145.8053887155
0.115,7123.24273354937,27124.3334634695
0.116,7104.92316423032,27100.6937892179
0.117,7081.35395193044,27074.657581701
0.118,7053.23158483039,27046.2007449936
0.119,7021.4669771098,27015.5427597209
0.12,6987.11774521937,26983.1778632106
0.121,6951.30408947495,26949.8739085871
0.122,6915.14241198996,26916.6129910749
0.123,6879.7054121552,26884.4771026349
0.124,6845.99078880609,26854.5217485646
0.125,6814.87831683701,26827.6899056123
0.126,6787.07576696377,26804.7812029434
0.127,6763.07494543263,26786.4386595347
0.128,6743.14308530436,26773.0997593672
0.129,6727.35655366995,26764.8985389075
0.13,6715.65923093672,26761.5645853303
0.131,6707.91716235119,26762.3879395589
0.132,6703.95169202397,26766.2853038493
0.133,6703.55464791529,26771.9437477261
0.134,6706.5028295221,26777.981567064
0.135,6712.58474707885,26783.0730463995
0.136,6721.63578068016,26786.0186303783
0.137,6733.56389636823,26785.7760616993
0.138,6748.34836433739,26781.4842921742
0.139,6766.00768071437,26772.5068680989
0.14,6786.54895030428,26758.4983567816
0.141,6809.91796542388,26739.4671683538
